,Practice.Code,IMD,Year
0,A81001,25.07512244,2010
1,A81001,25.88816002,2011
2,A81001,26.7011976,2012
3,A81001,27.51423518,2013
4,A81001,28.32727276,2014
5,A81001,29.14031034,2015
6,A81001,29.94546757,2016
7,A81001,30.7506248,2017
8,A81001,31.55578203,2018
9,A81001,32.36093926,2019
10,A81001,32.36093926,2020
11,A81001,32.36093926,2021
12,A81001,32.36093926,2022
13,A81001,32.36093926,2023
14,A81001,32.36093926,2024
15,A81001,32.36093926,2025
16,A81002,27.70068196,2010
17,A81002,28.09848676,2011
18,A81002,28.49629155,2012
19,A81002,28.89409635,2013
20,A81002,29.29190114,2014
21,A81002,29.68970594,2015
22,A81002,30.24776887,2016
23,A81002,30.80583179,2017
24,A81002,31.36389472,2018
25,A81002,31.92195764,2019
26,A81002,31.92195764,2020
27,A81002,31.92195764,2021
28,A81002,31.92195764,2022
29,A81002,31.92195764,2023
30,A81002,31.92195764,2024
31,A81002,31.92195764,2025
32,A81003,41.52382808,2010
33,A81003,41.49662828,2011
34,A81003,41.46942849,2012
35,A81003,41.44222869,2013
36,A81003,41.4150289,2014
37,A81003,41.3878291,2015
38,A81003,41.3878291,2016
39,A81003,41.3878291,2017
40,A81003,41.3878291,2018
41,A81003,41.3878291,2019
42,A81003,41.3878291,2020
43,A81003,41.3878291,2021
44,A81003,41.3878291,2022
45,A81003,41.3878291,2023
46,A81003,41.3878291,2024
47,A81003,41.3878291,2025
48,A81004,33.05192877,2010
49,A81004,33.32390869,2011
50,A81004,33.5958886,2012
51,A81004,33.86786852,2013
52,A81004,34.13984843,2014
53,A81004,34.41182835,2015
54,A81004,32.81487778,2016
55,A81004,31.21792721,2017
56,A81004,29.62097663,2018
57,A81004,28.02402606,2019
58,A81004,28.02402606,2020
59,A81004,28.02402606,2021
60,A81004,28.02402606,2022
61,A81004,28.02402606,2023
62,A81004,28.02402606,2024
63,A81004,28.02402606,2025
64,A81005,14.55968705,2010
65,A81005,14.79651209,2011
66,A81005,15.03333712,2012
67,A81005,15.27016216,2013
