,code,term
0,1217374002,Restrained eating behavior
1,158269000,[D]Appetite loss
2,206916007,[D]Appetite loss
3,248113009,Eating behavior and appetite
4,249469002,No interest in food
5,249470001,Cannot face food
6,249471002,Loss of appetite - symptom
7,249473004,Altered appetite
8,271816004,Lack of appetite
9,289163007,Appetite problem
10,39161000000101,Decrease in appetite
11,41421000000102,Decrease in appetite
12,46641000000101,Decrease in appetite
13,496881000000109,[D]Appetite loss
14,51575000,Abnormal food appetite
15,64379006,Decrease in appetite
16,78901000000106,Decrease in appetite
