,code,term
0,102580004,Cough suppression
1,111962006,Postural cough
2,11641008,Millers' asthma
3,11833005,Dry cough
4,1322651000000104,Recently performed mobilisation with intent to cause cough
5,135883003,Cough with fever
6,139176003,(Cough (& [symptom])) or (sputum - symptom)
7,139179005,Dry cough
8,139180008,Productive cough -clear sputum
9,139181007,Productive cough -green sputum
10,139182000,Productive cough-yellow sputum
11,139183005,Productive cough NOS
12,139184004,Night cough present
13,139186002,Chesty cough
14,139187006,Chronic cough
15,139188001,Persistent cough
16,139189009,Unexplained cough
17,139190000,Cough symptom NOS
18,139203004,Nocturnal cough / wheeze
19,139747006,Cough aggravates symptom
20,155567003,(Simple chronic bronchitis) or (smoker's cough) or (senile tracheobronchitis)
21,158383001,[D]Cough
22,158385008,[D]Cough with haemorrhage
23,161921002,(Cough (& [symptom])) or (sputum - symptom)
24,161923004,Productive cough -clear sputum
25,161924005,Productive cough -green sputum
26,161925006,Productive cough-yellow sputum
27,161926007,(Coughing up phlegm) or (productive cough NOS)
28,161927003,Night cough present
29,161929000,Chesty cough
30,161930005,Chronic cough
31,161931009,Persistent cough
32,161932002,Morning cough
33,161933007,Evening cough
34,161934001,Unexplained cough
35,161935000,Cough symptom NOS
36,161947006,Nocturnal cough and wheeze
37,17986004,Barking cough
38,191954008,Psychogenic cough
39,19282004,Cough on exercise
40,200151000000106,Reflux cough
41,20670007,Brassy cough
42,207066005,[D]Cough
43,207067001,[D]Cough syncope
44,207069003,[D]Cough with hemorrhage
45,208107003,Cough fracture of ribs
46,208136003,Cough fracture of ribs
47,216701000000107,Reflux cough
48,216711000000109,Reflux cough
49,225575005,Unable to cough up sputum
50,225588008,Cough when swallowing
51,244421000000105,Pain provoked by coughing
52,247410004,Painful cough
53,248593001,Cough when swallowing
54,25897000,Malt-workers' lung
55,263731006,Coughing
56,266394006,(Simple chronic bronchitis) or (smoker's cough) or (senile tracheobronchitis)
57,267034005,Productive cough NOS
58,272039006,Complaining of cough
59,275493006,Spasmodic cough
60,277357006,Sputum retention
61,284523002,Persistent cough
62,287121000000103,Barking cough 
63,287131000000101,Barking cough 
64,28743005,Productive cough
65,289113002,Able to cough
66,289114008,Does cough
67,289115009,Does not cough
68,289116005,Difficulty coughing
69,289965001,Croupy cough
70,292605001,Cough suppressant adverse reaction
71,300959008,Allergic cough
72,301235001,Finding of cough
73,301245004,Difficulty in coughing up sputum
74,301246003,Does cough up sputum
75,315246003,Unexplained cough
76,366124008,Finding related to ability to cough
77,366956000,Cough with fever
78,367181007,Cough with fever
79,389322008,Evening cough
80,389323003,Morning cough
81,39171000000108,Bovine cough
82,39181000000105,Difficulty in coughing up sputum
83,402850004,Purpura due to prolonged vomiting and/or coughing
84,409596002,Non-productive cough
85,409663006,Cough variant asthma
86,41431000000100,Bovine cough
87,41441000000109,Difficulty in coughing up sputum
88,417850002,Respiratory tract congestion and cough
89,424580008,Post-tussive vomiting
90,43025008,Paroxysmal cough
91,4338008,Arnold's nerve reflex cough syndrome
92,445241004,Persistent cough after viral respiratory infection
93,46651000000103,Bovine cough
94,46789001,Cough after eating
95,46802002,Smokers' cough
96,47591000000108,Bovine cough
97,49727002,Cough
98,498061000000106,[D]Cough
99,498071000000104,[D]Cough syncope
100,498091000000100,[D]Cough with haemorrhage
101,52673003,Decreased coughing
102,536861000000102,Cough symptom NOS
103,59994004,Hacking cough
104,62427007,Bovine cough
105,62548007,Nocturnal cough
106,62618004,Early morning cough
107,62731002,Increasing frequency of cough
108,63000007,Spasmodic cough
109,6368002,Cigarette cough
110,677011000000103,Productive cough NOS
111,68154008,Chronic cough
112,707401000000107,Cough swab
113,709481000000105,Cough on exercise
114,7142008,Cough at rest
115,74671000000102,Difficulty in coughing up sputum
116,788062371000119104,Acute cough
117,78911000000108,Difficulty in coughing up sputum
118,808361000000100,Benign cough headache
119,810511000000109,Episodic dry cough
120,831721000000106,Episodic dry cough
121,901000172101,Dry tickly cough
122,90129003,Tussive syncope
