,code,term
0,102577000,Trepopnea
1,1047261000000103,Breathlessness care management
2,1049241000000109,Opioid therapy for breathlessness management
3,1060991000000107,Medical Research Council Breathlessness Scale grade 5a
4,1061001000000106,Medical Research Council Breathlessness Scale grade 5b
5,1089971000000104,Extended Medical Research Council dyspnoea scale grade 1
6,1089981000000102,Extended Medical Research Council dyspnoea scale grade 2
7,1089991000000100,Extended Medical Research Council dyspnoea scale grade 3
8,1090001000000101,Extended Medical Research Council dyspnoea scale grade 5a
9,1090011000000104,Extended Medical Research Council dyspnoea scale grade 4
10,1090021000000105,Extended Medical Research Council dyspnoea scale grade 5b
11,1099381000000100,Modified Medical Research Council dyspnoea scale grade 1
12,1099391000000103,Modified Medical Research Council dyspnoea scale grade 2
13,1099401000000100,Modified Medical Research Council dyspnoea scale grade 3
14,1099411000000103,Modified Medical Research Council dyspnoea scale grade 4
15,119981000146107,Dyspnea caused by Severe acute respiratory syndrome coronavirus 2
16,139192008,(Symptom: [SOB] or [breathlessness] or [dyspnoea]) or (breathlessness)
17,139194009,Breathless - moderate exertion
18,139195005,Breathless - mild exertion
19,139196006,Dyspnoea at rest
20,139197002,(Breathless - lying flat) or (orthopnoea symptom)
21,139198007,Paroxysmal nocturnal dyspnoea
22,139201002,Dyspnoea
23,139204005,Dyspnoea on exertion
24,139207003,Breathlessness NOS
25,140107002,O/E - dyspnoea
26,140108007,O/E - orthopnoea
27,140109004,O/E - respiratory distress
28,158371003,[D]Dyspnoea
29,158373000,[D]Orthopnoea
30,158377004,[D]Respiratory distress
31,158379001,[D]Shortness of breath
32,161937008,(Symptom: [SOB] or [breathlessness] or [dyspnoea]) or (breathlessness)
33,161939006,Breathless - moderate exertion
34,161940008,Breathless - mild exertion
35,161941007,Dyspnea at rest
36,161942000,(Breathless - lying flat) or (orthopnoea symptom)
37,161946002,Dyspnoea
38,161948001,Dyspnoea on exertion
39,161951008,Breathlessness NOS
40,162890008,On examination - dyspnea
41,162891007,On examination - orthopnea
42,162895003,On examination - accessory respiratory muscles used
43,162900004,On examination - air hunger
44,162916002,On examination - tachypnea
45,17216000,"Dyspnea, class I"
46,20112008,Dyspnea leaning over
47,207051007,[D]Orthopnea
48,207055003,[D]Respiratory distress
49,207057006,[D]Shortness of breath
50,207059009,[D]Dyspnea
51,207062007,[D]Breathlessness
52,230145002,Difficulty breathing
53,23141003,Gasping for breath
54,248548009,Nocturnal dyspnea
55,248549001,Labored breathing
56,248550001,Cannot breathe deeply enough
57,248551002,Cannot blow
58,248552009,Winded
59,248564001,Pursed-lip breathing
60,248567008,Indrawing of ribs during respiration
61,248569006,Sternal recession
62,248578000,Sobbing respiration
63,24921003,Dyspnea raising arms
64,25209001,Inspiratory dyspnea
65,267036007,Dyspnea
66,271620003,Accessory respiratory muscles used
67,271621004,Stertorous breathing
68,271825005,Respiratory distress
69,276859008,Suprasternal recession
70,297216006,Increasing breathlessness
