,code,term
0,1162534004,Measured interdialytic weight loss
1,139091004,Weight loss (& abnormal)
2,161832001,Weight decreasing
3,161834000,Abnormal weight loss (& [symptom])
4,198511000000103,Complaining of weight loss
5,213791000000109,Complaining of weight loss
6,213801000000108,Complaining of weight loss
7,240261000000105,Recent weight loss
8,262285001,Weight decreased
9,267024001,Abnormal weight loss
10,267158006,Weight loss (& abnormal)
11,309257005,Excessive weight loss
12,363806002,Weight loss (amount)
13,401003006,Weight loss from baseline weight
14,422868009,Unexplained weight loss
15,426977000,Recent weight loss
16,448765001,Unintentional weight loss
17,511461000000103,Unexplained weight loss
18,60861008,Excessive body weight loss
19,699205002,Involuntary weight loss
20,707471000000104,Percentage weight loss
21,75071000000109,Weight loss from baseline weight
22,768571000000103,Unintentional weight loss
23,768581000000101,Unintentional weight loss 
24,79311000000104,Weight loss from baseline weight
25,816160009,Measured weight loss
26,816172003,Measured gestational weight loss
27,89362005,Weight loss
