,code,term
0,139840001,Suspected malignancy
1,1556551000000104,Fast track referral for suspected cancer due to non-site-specific symptoms
2,162572001,Malignant neoplastic disease suspected
3,199251000000107,Fast track cancer referral
4,214671000000104,Fast track cancer referral
5,214681000000102,Fast track cancer referral
6,288261000000100,Fast track cancer referral
7,292461000000104,Fast track cancer referral
8,382761000000101,Seen in fast track suspected cancer clinic
9,382771000000108,Seen in fast track suspected cancer clinic 
10,382781000000105,Seen in fast track suspected cancer clinic 
11,978821000000103,Discussion about suspected cancer
12,990821000000107,Discussion about suspected cancer
