,code,term
0,139841002,Suspected lung cancer
1,162573006,Malignant neoplasm of lung suspected
2,275981009,Screening for malignant neoplasm of lung
3,276491000000101,Fast track referral for suspected lung cancer
4,276501000000107,Urgent cancer referral - lung 
5,276511000000109,Urgent cancer referral - lung 
6,317521000112104,Metastatic malignant neoplasm to lung suspected
7,382681000000102,Seen in fast track suspected lung cancer clinic
8,487211000000100,Seen in fast track suspected lung cancer clinic 
9,491051000000102,Seen in fast track suspected lung cancer clinic 
