,code,term
0,J410,Simple chronic bronchitis
1,J42,Unspecified chronic bronchitis
2,J431,Panlobular emphysema
3,J432,Centrilobular emphysema
4,J438,Other emphysema
5,J439,"Emphysema, unspecified"
6,J44,Other chronic obstructive pulmonary disease
7,J440,Chronic obstructive pulmonary disease with acute lower respiratory infection
8,J441,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified"
9,J448,Other specified chronic obstructive pulmonary disease
10,J449,"Chronic obstructive pulmonary disease, unspecified"
