,code,term
0,4981000,Panacinar emphysema (disorder)
1,7457009,Chronic tracheitis (disorder)
2,13645005,Chronic obstructive lung disease (disorder)
3,16003001,Giant bullous emphysema (disorder)
4,31898008,Paraseptal emphysema (disorder)
5,33325001,Compensatory emphysema (disorder)
6,40100001,Obliterative bronchiolitis (disorder)
7,45145000,Unilateral emphysema (situation)
8,49691004,Occupational bronchitis (disorder)
9,52571006,Chronic tracheobronchitis (disorder)
10,61937009,Simple chronic bronchitis (disorder)
11,63480004,Chronic bronchitis (disorder)
12,68328006,Centriacinar emphysema (disorder)
13,74417001,Mucopurulent chronic bronchitis (disorder)
14,77690003,Interstitial emphysema of lung (disorder)
15,83271005,Chronic laryngotracheitis (disorder)
16,84409004,Fetid chronic bronchitis (disorder)
17,87433001,Pulmonary emphysema (disorder)
18,89099002,Chronic allergic bronchitis (disorder)
19,89549007,Catarrhal bronchitis (disorder)
20,135836000,End stage chronic obstructive airways disease (disorder)
21,185086009,Chronic obstructive bronchitis (disorder)
22,195949008,Chronic asthmatic bronchitis (disorder)
23,195951007,Acute exacerbation of chronic obstructive airways disease (disorder)
24,195953005,Mixed simple and mucopurulent chronic bronchitis (disorder)
25,195957006,Chronic bullous emphysema (disorder)
26,195958001,Segmental bullous emphysema (disorder)
27,195959009,Zonal bullous emphysema (disorder)
28,195963002,Acute vesicular emphysema (disorder)
29,196001008,Chronic obstructive pulmonary disease with acute lower respiratory infection (disorder)
30,196026004,Chronic emphysema caused by chemical fumes (disorder)
31,233674008,Pulmonary emphysema in alpha-1 primary immunodeficiency deficiency (disorder)
32,233675009,Toxic emphysema (disorder)
33,233677001,Scar emphysema (disorder)
34,266355005,Bullous emphysema with collapse (disorder)
35,266356006,Atrophic (senile) emphysema (disorder)
36,285381006,Acute infective exacerbation of chronic obstructive airways disease (disorder)
37,313296004,Mild chronic obstructive pulmonary disease (disorder)
38,313297008,Moderate chronic obstructive pulmonary disease (disorder)
39,313299006,Severe chronic obstructive pulmonary disease (disorder)
40,360470001,Chronic mucus hypersecretion (disorder)
41,425748003,Acute exacerbation of chronic bronchitis (disorder)
42,293991000000106,Very severe chronic obstructive pulmonary disease (disorder)
43,847091000000104,Acute non-infective exacerbation of chronic obstructive pulmonary disease (disorder)
