,code,term
0,24645511000001105,Umeclidinium bromide 65micrograms/dose / Vilanterol 22micrograms/dose dry powder inhaler
1,32364511000001104,Umeclidinium bromide 65micrograms/dose / Vilanterol 22micrograms/dose dry powder inhaler
2,32629811000001101,Umeclidinium bromide 65micrograms/dose / Vilanterol 22micrograms/dose dry powder inhaler
3,24644611000001108,Anoro Ellipta 55micrograms/dose / 22micrograms/dose dry powder inhaler
4,28049611000001104,Indacaterol 85micrograms/dose / Glycopyrronium bromide 54micrograms/dose inhalation powder capsules with device
5,38897611000001100,Fluticasone propionate 100micrograms/dose / Salmeterol 50micrograms/dose dry powder inhaler
6,38897511000001104,Fluticasone propionate 250micrograms/dose / Salmeterol 50micrograms/dose dry powder inhaler
7,38897411000001103,Fluticasone propionate 500micrograms/dose / Salmeterol 50micrograms/dose dry powder inhaler
8,31064811000001101,Fluticasone propionate 500micrograms/dose / Salmeterol 50micrograms/dose dry powder inhaler
9,39111211000001103,Fluticasone 125micrograms/dose inhaler CFC free
10,25254711000001106,DuoResp Spiromax 320micrograms/dose / 9micrograms/dose dry powder inhaler
11,34812111000001106,Fobumix Easyhaler 320micrograms/dose / 9micrograms/dose dry powder inhaler
12,34950311000001108,Fobumix Easyhaler 160micrograms/dose / 4.5micrograms/dose dry powder inhaler
13,34950611000001103,Fobumix Easyhaler 80micrograms/dose / 4.5micrograms/dose dry powder inhaler
14,36059911000001104,Fluticasone propionate 50microgram inhalation powder blisters with device
15,39110911000001100,Fluticasone 50micrograms/dose inhaler CFC free
16,21113711000001102,Fluticasone 125micrograms/dose / Formoterol 5micrograms/dose inhaler CFC free
17,21113811000001105,Fluticasone 250micrograms/dose / Formoterol 10micrograms/dose inhaler CFC free
18,21113911000001100,Fluticasone 50micrograms/dose / Formoterol 5micrograms/dose inhaler CFC free
19,35647511000001107,Fluticasone 125micrograms/dose / Formoterol 5micrograms/dose breath actuated inhaler CFC free
20,36059211000001108,Fluticasone propionate 100microgram inhalation powder blisters
21,36059411000001107,Fluticasone propionate 250microgram inhalation powder blisters with device
22,36059511000001106,Fluticasone propionate 250microgram inhalation powder blisters
23,36059711000001101,Fluticasone propionate 500microgram inhalation powder blisters with device
24,38897911000001106,Fluticasone propionate 50micrograms/dose dry powder inhaler
25,21019411000001101,Flutiform 125micrograms/dose / 5micrograms/dose inhaler
26,21019711000001107,Flutiform 250micrograms/dose / 10micrograms/dose inhaler
27,21020611000001104,Flutiform 50micrograms/dose / 5micrograms/dose inhaler
28,35647311000001101,Flutiform K-haler 125micrograms/dose / 5micrograms/dose breath actuated inhaler
29,35650811000001109,Flutiform K-haler 50micrograms/dose / 5micrograms/dose breath actuated inhaler
