,code,term
0,13620911000001108,Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free
1,29851811000001101,Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free
2,173511000001103,Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free
3,549711000001102,Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free
4,21975611000001101,Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free
5,39107311000001103,Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free
6,177211000001105,Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free
7,10060711000001105,Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free
8,364011000001109,Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free
9,23903511000001100,Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free
10,10308011000001107,Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free
11,273611000001101,Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free
12,506011000001101,Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free
13,30810111000001105,Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free
14,38890411000001102,Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free
15,17903011000001103,Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free
16,13621111000001104,Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free
17,29852611000001106,Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free
18,592611000001105,Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free
19,784711000001108,Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free
20,21975811000001102,Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free
21,39107211000001106,Erythromycin ethyl succinate 500mg/5ml oral suspension sugar free
22,36564711000001108,Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free
23,481911000001102,Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free
24,10060511000001100,Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free
25,580111000001102,Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free
26,23903311000001106,Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free
27,10307511000001103,Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free
28,2411000001108,Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free
29,840611000001104,Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free
30,30125811000001107,Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free
31,38890211000001101,Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free
32,17902611000001100,Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free
33,21038911000001105,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free
34,32492211000001103,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free
35,21834511000001106,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free
36,37772811000001100,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free
37,9209511000001103,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free
38,30856211000001108,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free
39,39177811000001104,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free
40,17954511000001102,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free
41,11533211000001107,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free
42,9308211000001104,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free
43,9842511000001106,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free
44,39177411000001101,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free
45,17954311000001108,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free
46,9308011000001109,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free
47,9842311000001100,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free
48,21844311000001104,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free
49,9215211000001101,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free
50,9254111000001100,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free
51,31058811000001100,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free
52,16166011000001106,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free
53,28097311000001107,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free
54,10452811000001100,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free
55,433911000001109,Erythromycin ethyl succinate 500mg/5ml oral suspension sugar free
56,10060911000001107,Erythromycin ethyl succinate 500mg/5ml oral suspension sugar free
57,626611000001105,Erythromycin ethyl succinate 500mg/5ml oral suspension sugar free
58,23903711000001105,Erythromycin ethyl succinate 500mg/5ml oral suspension sugar free
59,10308511000001104,Erythromycin ethyl succinate 500mg/5ml oral suspension sugar free
60,364211000001104,Erythromycin ethyl succinate 500mg/5ml oral suspension sugar free
61,78611000001101,Erythromycin ethyl succinate 500mg/5ml oral suspension sugar free
62,17903511000001106,Erythromycin ethyl succinate 500mg/5ml oral suspension sugar free
63,13621311000001102,Erythromycin ethyl succinate 500mg/5ml oral suspension sugar free
64,848711000001105,Erythromycin ethyl succinate 500mg/5ml oral suspension sugar free
65,17902811000001101,Erythromycin ethyl succinate 250mg/5ml oral suspension
66,13620511000001101,Erythromycin ethyl succinate 250mg/5ml oral suspension
67,103911000001104,Erythromycin ethyl succinate 250mg/5ml oral suspension
68,29856111000001104,Erythromycin ethyl succinate 250mg/5ml oral suspension
69,21975211000001103,Erythromycin ethyl succinate 250mg/5ml oral suspension
70,41949211000001102,Erythromycin ethyl succinate 500mg/5ml oral suspension
71,348611000001104,Erythromycin ethyl succinate 500mg/5ml oral suspension
72,889511000001102,Erythromycin ethyl succinate 500mg/5ml oral suspension
73,845911000001101,Erythromycin ethyl succinate 500mg/5ml oral suspension
74,23903111000001109,Erythromycin ethyl succinate 500mg/5ml oral suspension
75,10308311000001105,Erythromycin ethyl succinate 500mg/5ml oral suspension
76,41948911000001103,Erythromycin ethyl succinate 125mg/5ml oral suspension
77,682211000001102,Erythromycin ethyl succinate 125mg/5ml oral suspension
78,838411000001100,Erythromycin ethyl succinate 125mg/5ml oral suspension
79,468911000001109,Erythromycin ethyl succinate 125mg/5ml oral suspension
80,23902711000001102,Erythromycin ethyl succinate 125mg/5ml oral suspension
81,10307311000001109,Erythromycin ethyl succinate 125mg/5ml oral suspension
82,469911000001101,Erythromycin ethyl succinate 125mg/5ml oral suspension
83,38889611000001109,Erythromycin ethyl succinate 125mg/5ml oral suspension
84,17902311000001105,Erythromycin ethyl succinate 125mg/5ml oral suspension
85,13620311000001107,Erythromycin ethyl succinate 125mg/5ml oral suspension
86,231611000001103,Erythromycin ethyl succinate 125mg/5ml oral suspension
87,9253911000001104,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free
88,31058611000001104,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free
89,16165811000001108,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free
90,28097111000001105,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free
91,10452611000001104,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free
92,21038711000001108,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free
93,32490911000001108,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free
94,21863211000001102,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free
95,37772411000001102,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free
96,9209211000001101,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free
97,38619411000001101,Flucloxacillin 125mg/5ml oral solution sugar free
98,23979011000001102,Flucloxacillin 125mg/5ml oral solution sugar free
99,16247911000001103,Flucloxacillin 125mg/5ml oral solution sugar free
100,38915411000001100,Flucloxacillin 125mg/5ml oral solution sugar free
101,37732411000001104,Flucloxacillin 125mg/5ml oral solution sugar free
102,21997511000001104,Flucloxacillin 125mg/5ml oral solution sugar free
103,16089711000001107,Flucloxacillin 250mg/5ml oral solution sugar free
104,16443611000001100,Flucloxacillin 250mg/5ml oral solution sugar free
105,16086611000001106,Flucloxacillin 250mg/5ml oral solution sugar free
106,27126411000001109,Flucloxacillin 250mg/5ml oral solution sugar free
107,28096511000001103,Flucloxacillin 250mg/5ml oral solution sugar free
108,237511000001108,Erythromycin ethyl succinate 500mg/5ml oral suspension
109,17903311000001100,Erythromycin ethyl succinate 500mg/5ml oral suspension
110,13620711000001106,Erythromycin ethyl succinate 500mg/5ml oral suspension
111,605811000001107,Erythromycin ethyl succinate 500mg/5ml oral suspension
112,29856611000001107,Erythromycin ethyl succinate 500mg/5ml oral suspension
