,code,term
0,10629031000119100,Acute lymphadenitis of neck
1,1204199009,Acute inflammation of occipital lymph node
2,127076002,Occipital lymphadenopathy
3,127077006,Posterior auricular lymphadenopathy
4,127079009,Inferior auricular lymphadenopathy
5,127082004,Submandibular lymphadenopathy
6,127086001,Cervical lymphadenopathy
7,127087005,Lateral cervical lymphadenopathy
8,127089008,Jugular lymphadenopathy
9,127090004,Anterior cervical lymphadenopathy
10,127091000,Retropharyngeal lymphadenopathy
11,127092007,Prelaryngeal lymphadenopathy
12,127093002,Delphian lymphadenopathy
13,127094008,Pretracheal lymphadenopathy
14,127095009,Infraclavicular lymphadenopathy
15,127096005,Scalene lymphadenopathy
16,141344002,O/E -cervical lymphadenopathy
17,15170009,Submandibular lymphadenitis
18,164147008,On examination - cervical lymphadenopathy
19,186259007,Scrofulous tuberculous abscess
20,238405002,Acute cervical adenitis
21,240414006,Cervical atypical mycobacterial lymphadenitis
22,274740001,Enlarged submandibular lymph gland
23,300929003,Tonsillar adenitis
24,3502005,Cervical lymphadenitis
25,54084005,Cervical tuberculous lymphadenitis
26,704281009,Head and neck lymphadenopathy
27,717231003,Periodic fever and aphthous stomatitis with pharyngitis and cervical lymphadenitis syndrome
28,75053002,Acute febrile mucocutaneous lymph node syndrome
29,788889007,Chronic inflammation of cervical lymph node
