,code,term
0,315232003,Referral to stop-smoking clinic
1,1290027009,Consultation for smoking cessation
2,395700008,Referral to smoking cessation advisor
3,1087441000000106,Smoking cessation programme declined
4,225323000,Smoking cessation education
5,755721000000107,Consent given for follow-up by smoking cessation team
6,712971000000108,Practice based smoking cessation programme start date
7,401068004,Seen by smoking cessation advisor
8,527151000000107,Smoking cessation advice declined
9,505281000000106,Referral to National Health Service stop smoking service
10,770729006,Referral for brief intervention for smoking cessation
11,871641000000105,Referral to smoking cessation service declined
12,755741000000100,Declined consent for follow-up by smoking cessation team
13,767641000000109,Referral for smoking cessation service offered
14,771155005,Brief intervention for smoking cessation
15,1094321000000100,Referral for brief intervention for smoking cessation
16,871661000000106,Referral to smoking cessation service
17,1084381000000100,Signposting to smoking cessation service
18,1110791000000100,Very Brief Advice on Smoking
19,200211000000104,Nicotine replacement therapy provided by community pharmacist
20,200221000000105,Smoking cessation advice provided by community pharmacist
21,171055003,Pregnancy smoking education
22,521721000000109,Smoking cessation leaflet given
23,315022003,Nicotine replacement therapy declined
24,225324006,Smoking effects education
25,506491000000102,Brief intervention for smoking cessation
26,699033005,Provision of smoking cessation leaflet
27,783011000000105,Stop smoking service opportunity signposted
28,838131000000103,Provision of written information about smoking cessation
29,966971000000103,Varenicline smoking cessation therapy declined
30,151159008,Nicotine replacement therapy
31,280811000000104,Nicotine replacement therapy using nicotine inhalator
32,313396002,Nicotine replacement therapy
33,280801000000101,Nicotine replacement therapy using nicotine gum
34,390905006,Nicotine replacement therapy provided free
35,384742004,Smoking cessation assistance
36,315055008,Over the counter nicotine replacement therapy
37,710081004,Smoking cessation therapy
38,713700008,Smoking cessation drug therapy
39,790121000000107,Nicotine replacement therapy using nicotine patch
40,822591000000108,Smoking cessation drug therapy declined
41,784481000000108,Issue of nicotine replacement therapy voucher
42,790131000000109,Nicotine replacement therapy using nicotine lozenge
43,966991000000104,Varenicline smoking cessation therapy offered
