,code,term
0,162004,Severe manic bipolar I disorder without psychotic features (disorder)
1,4441000,Severe bipolar disorder with psychotic features (disorder)
2,4926007,Schizophrenia in remission (disorder)
3,5464005,Brief reactive psychosis (disorder)
4,12939007,Chronic disorganized schizophrenia (disorder)
5,13313007,Mild bipolar disorder (disorder)
6,13746004,Bipolar disorder (disorder)
7,14291003,Subchronic disorganized schizophrenia with acute exacerbations (disorder)
8,16506000,Mixed bipolar I disorder (disorder)
9,16990005,Subchronic schizophrenia (disorder)
10,26025008,Residual schizophrenia (disorder)
11,26472000,Paraphrenia (disorder)
12,27387000,Subchronic disorganized schizophrenia (disorder)
13,28475009,Severe recurrent major depression with psychotic features (disorder)
14,31027006,Schizotypal personality disorder (disorder)
15,31373002,Disorganized schizophrenia in remission (disorder)
16,31446002,"Bipolar I disorder, most recent episode hypomanic (disorder)"
17,31658008,Chronic paranoid schizophrenia (disorder)
18,35252006,Disorganized schizophrenia (disorder)
19,35489007,Depressive disorder (disorder)
20,36474008,Severe recurrent major depression without psychotic features (disorder)
21,36923009,"Major depression, single episode (disorder)"
22,38295006,Involutional paraphrenia (disorder)
23,41836007,Bipolar disorder in full remission (disorder)
24,42868002,Subchronic catatonic schizophrenia (disorder)
25,48500005,Delusional disorder (disorder)
26,53049002,Severe bipolar disorder without psychotic features (disorder)
27,58214004,Schizophrenia (disorder)
28,61403008,Severe depressed bipolar I disorder without psychotic features (disorder)
29,61831009,Induced psychotic disorder (disorder)
30,63181006,Paranoid schizophrenia in remission (disorder)
31,63204009,BouffÃƒÂ©e dÃƒÂ©lirante (disorder)
32,63249007,Manic bipolar I disorder in partial remission (disorder)
33,64905009,Paranoid schizophrenia (disorder)
34,68890003,Schizoaffective disorder (disorder)
35,68995007,Chronic catatonic schizophrenia (disorder)
36,69322001,Psychotic disorder (disorder)
37,70747007,"Major depression single episode, in partial remission (disorder)"
38,73867007,Severe major depression with psychotic features (disorder)
39,79584002,Moderate bipolar disorder (disorder)
40,79866005,Subchronic paranoid schizophrenia (disorder)
41,83225003,Bipolar II disorder (disorder)
42,83458005,Agitated depression (disorder)
43,83746006,Chronic schizophrenia (disorder)
44,84760002,"Schizoaffective disorder, depressive type (disorder)"
45,85248005,Bipolar disorder in remission (disorder)
46,87414006,Reactive depression (situational) (disorder)
47,111482003,Subchronic schizophrenia with acute exacerbations (disorder)
48,111483008,Catatonic schizophrenia in remission (disorder)
49,111484002,Undifferentiated schizophrenia (disorder)
50,191525009,Non-organic psychosis (disorder)
51,191526005,Schizophrenic disorders (disorder)
52,191527001,Simple schizophrenia (disorder)
53,191531007,Acute exacerbation of chronic schizophrenia (disorder)
54,191539009,Acute exacerbation of chronic hebephrenic schizophrenia (disorder)
55,191542003,Catatonic schizophrenia (disorder)
56,191547009,Acute exacerbation of subchronic catatonic schizophrenia (disorder)
57,191548004,Acute exacerbation of chronic catatonic schizophrenia (disorder)
58,191554003,Acute exacerbation of subchronic paranoid schizophrenia (disorder)
59,191555002,Acute exacerbation of chronic paranoid schizophrenia (disorder)
60,191559008,Latent schizophrenia (disorder)
61,191562006,Chronic latent schizophrenia (disorder)
62,191563001,Acute exacerbation of subchronic latent schizophrenia (disorder)
63,191564007,Acute exacerbation of chronic latent schizophrenia (disorder)
64,191565008,Latent schizophrenia in remission (disorder)
65,191567000,Schizoaffective schizophrenia (disorder)
66,191569002,Subchronic schizoaffective schizophrenia (disorder)
67,191570001,Chronic schizoaffective schizophrenia (disorder)
68,191571002,Acute exacerbation of subchronic schizoaffective schizophrenia (disorder)
69,191572009,Acute exacerbation of chronic schizoaffective schizophrenia (disorder)
70,191574005,Schizoaffective schizophrenia in remission (disorder)
71,191577003,Cenesthopathic schizophrenia (disorder)
72,191583000,"Single manic episode, mild (disorder)"
73,191584006,"Single manic episode, moderate (disorder)"
74,191586008,"Single manic episode, severe, with psychosis (disorder)"
